semana,neg-1,neg-2,neg-3,neg-4,neg-5,neg-6,neg-7,neg-8,neg-9,neg-10,neg-11,neg-12,neg-13,neg-14,neg-15,neg-16,neg-17,neg-18,neg-19,neg-20,pos-1,pos-2,pos-3,pos-4,pos-5,pos-6,pos-7,pos-8,pos-9,pos-10,pos-11,pos-12,pos-13,pos-14,pos-15,pos-16,pos-17,pos-18,pos-19,pos-20
2016-50,pon acuerd,sistem universitari,generalitat cataluñ,jurisdiccion universal,sustraccion internacional,acos escol,gran pact,internacional menor,famili infanci,prestacion servici,puest trabaj,cambi climat,interior brut,convien record,product interior,tech gast,600 000,pas import,pas impor,pas fronteriz,ejempl nuev,ejempl num,ejempl numer,ejempl parlament,ejempl objet,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl oblig,ños popul,tribunal suprem,ultim años
2016-51,derech libertad,dobl instanci,comision europe,ten cuent,tej empresarial,ahor mism,lleg acuerd,buen españ,pued cos,oficin judicial,muestr sensibil,oblig record,vital person,centr punt,plen efect,jur pur,manifest cre,popul apoy,buen dias,decision estrateg,ejempl oper,ejempl pension,ejempl organ,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl pas,ejempl paradigmat,ejempl particip,ejempl parec,ejempl organiz,ejempl parlament,ejempl part,acept enmiend,particip person,sigl xxi,servici public,ultim años,derech particip
2017-6,com hech,mir futur,institucional cooper,acuerd consens,sistem nacional,empres public,quier dec,sen plen,administr justici,cambi mund,lealt institucional,merc electr,sid posibl,2017 diari,pas import,pas importantisim,pas impor,pas imagin,pas imprescind,pas impuest,ejempl numer,ejempl objet,ejempl oblig,ejempl pro,ejempl ocasion,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl parlament,ejempl ocurr,ños popul,asunt exterior,sector industrial
2017-8,solucion problem,miembr cam,protestas aplaus,caden alimentari,acept transaccional,propuest present,quier dec,profund orgull,hech alusion,preci public,ponenci estudi,mejor sistem,integr unic,falt respet,desarroll sosten,22 febrer,rendimient academ,concesion bec,febrer 2017,ningun legitim,ejempl num,ejempl numer,ejempl objet,ejempl oblig,ejempl pas,ejempl ocasion,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl parlament,ejempl part,ejempl ocurr,ños popul
2017-10,lleg acuerd,seman pas,puest march,mujer trabaj,inici tramit,institut cervant,enmiend present,present senador,buen dias,violenci gener,sanid servici,person discapac,pas inclu,pas hag,pas hambr,pas hech,pas histori,pas hor,pas igual,pas im,ejempl nivel,ejempl niñ,ejempl norm,ejempl nuev,ejempl parec,ejempl num,ejempl objet,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl numer,ños popul
2017-12,derech constitucional,espiritu mocion,comision europe,articul 25,hech mal,pen prision,modific reglament,pod judicial,inform public,fiscal general,cuent general,segur nacional,public general,sig viv,habl ello,quier vot,pas fronteriz,pas imprescind,pas importantisim,pas impuest,ejempl norm,ejempl nuev,ejempl num,ejempl numer,ejempl part,ejempl objet,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl oblig,ños popul
2017-14,26 pag,marz 2017,interes general,herreñ herreñ,formacion profesional,autor central,segur agrari,guardi civil,material human,trabaj comision,pod acept,sector agroalimentari,2017 diari,febrer 2017,part polit,comision asunt,asunt exterior,pas inadvert,pas histori,pas hor,ejempl nuev,ejempl paradigmat,ejempl numer,ejempl num,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl objet,ños popul,trat pag,gran obra,proteccion patrimoni,mism tiemp
2017-17,mocion pid,ponenci permanent,abril 2017,tribun public,presupuest general,inform geograf,donant viv,fraud fiscal,republ venezuel,hac trec,28 pag,activ econom,ancho metric,26 abril,modif articul,gestion proyect,senador puest,propong modif,dirig tribun,salud presenci,ejempl objet,ejempl oblig,ejempl ocasion,ejempl nacional,ejempl ocurr,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl parlament,ejempl part,ejempl particip,ejempl oficin,ños popul,alta veloc
2017-19,lleg acuerd,part polit,may 2017,defens interes,acuerd consens,alta veloc,buen tard,menor mayor,polit agrari,conveni internacional,trat acuerd,ave galici,med impuls,socied civil,sector forestal,10 may,hac pod,derech human,defensor puebl,turist internacional,ejempl organ,ejempl oper,ejempl paradigmat,ejempl pa,ejempl pact,ejempl pag,ejempl pas,ejempl palpabl,ejempl organiz,ejempl parec,ejempl particip,ejempl parlament,ejempl part,mejor calid,calid vid,unid pod,municipi provinci,obra public,cambi climat,interes general
2017-21,pod lleg,interes canari,proyect presupuest,cost catalan,pued ten,hac españ,adopcion internacional,pas impuest,pas imprescind,pas importantisim,06 deud,pas impor,pas imagin,pas im,pas igual,pas import,pas impuls,pas in,pas inadvert,pas inclu,ejempl parec,ejempl numer,ejempl num,ejempl oblig,ejempl palpabl,ejempl pag,ejempl pact,ejempl pa,ejempl organiz,ejempl objet,ejempl organ,ejempl oficin,ejempl ocurr,ejempl ocasion,ejempl oper,ños popul,23 may,ministeri foment,vay termin,31 pag
2017-24,rechaz vet,polit apoy,grup parlamentari,quier dec,escol universitari,may 2017,person discapac,fond liquidez,cre emple,españ popul,orgull pertenec,creacion emple,nuev model,34 pag,presupuest 2011,14 juni,materi turist,fuerz armad,investig desarroll,ayer portavoz,ejempl nuev,ejempl objet,ejempl organiz,ejempl organ,ejempl oper,ejempl oficin,ejempl numer,ños popul,ejempl ocurr,ejempl ocasion,ejempl oblig,servici exterior,trabaj servici,respect presupuest,dan solucion,nacional salud,sistem nacional,objet deficit,vay termin,impugn numer
2017-26,habl nombr,comision investig,ultim años,declar institucional,subdireccion general,present mixt,grup polit,conveni internacional,proces judicial,generalitat cataluñ,polic nacional,comerci minor,provinci huelv,segur salud,crim organiz,inform public,estudi inform,pas importantisim,pas import,pas impor,ejempl num,ejempl numer,ejempl mund,ejempl objet,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl oblig,ños popul,sistem nacional,nacional salud
2017-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-37,13 septiembr,mocion present,present enmiend,juni 2017,composicion consej,mensaj clar,financi autonom,tod islas,jorn laboral,cambi climat,activ turist,municipi turist,pas impor,pas imagin,pas import,pas im,pas importantisim,pas imprescind,06 deud,pas inadvert,ejempl num,ejempl parlament,ejempl numer,ños popul,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl objet,famili numer,violenci gener,sistem sanitari
2017-39,quier agradec,segur encuentr,puest trabaj,pod hab,fracas escol,enmiend present,gran prestigi,segur vial,mejor text,num 42,digitaliz justici,27 septiembr,2017 diari,hech religi,sustitu sistem,gener riquez,sen plen,senador present,septiembr 2017,literal dij,ejempl oblig,ejempl objet,ejempl ocurr,ejempl parec,ejempl paradigmat,ejempl palpabl,ejempl pag,ejempl ocasion,ejempl pact,ños popul,ejempl pa,ejempl organiz,ejempl organ,ejempl oper,ejempl oficin,reproduccion asist,person mayor,pact educ,apoy mocion,servici public
2017-41,400 000,ajust realid,import defens,presupuest general,trat conveni,cambi uso,comision incompatibil,navarret pla,ponenci permanent,person mayor,reglament sen,mulet garc,previst articul,pas import,pas importantisim,pas impuls,pas imprescind,pas impor,pas imagin,pas impuest,ejempl num,ejempl numer,ejempl objet,ejempl mund,ejempl oblig,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl parlament,ejempl ocasion,ños popul,alta veloc
2017-43,segu siend,acuerd comercial,volunt acuerd,senador mulet,pas histori,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas inadvert,pas inclu,pas inclus,pas incorpor,ejempl niñ,ejempl norm,ejempl nuev,ejempl num,ejempl parlament,ejempl numer,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl objet,ños popul
2017-45,buen tard,puest trabaj,pension hac,princip asturi,congel pension,derech human,polic guardi,castill leon,com ido,san pedr,segur agrari,reform propon,firm defensor,solucion definit,decision adopt,llev parec,guardi civil,esfuerz hac,calid democrat,pas importantisim,ejempl num,ejempl numer,ejempl objet,ejempl oblig,ños popul,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl parlament,ejempl mund,vay termin
2017-47,establec plaz,grup parlamentari,mund conoc,habl educ,respet tod,num 50,construccion nuev,cuarent años,nacional internacional,dar pas,libert democraci,sistem financi,compromis popul,ciud lug,dot presupuestari,cambi vid,histori modern,nuev sistem,cuent general,individual colect,ejempl objet,ejempl oblig,ejempl particip,ejempl ocasion,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl parlament,ejempl ocurr,ños popul,desarroll innov,abus sexual,investig desarroll
2017-48,marc españ,garant equid,mocion present,polit econom,financi autonom,respect competent,apoy mocion,nacional guardi,noviembr 2017,recuper emple,enriquec mejor,oportun popul,disposicion adicional,particip maner,text consens,senador carced,comision incompatibil,trabaj equip,famili hij,person discapac,ejempl paradigmat,ejempl numer,ños popul,ejempl oblig,ejempl pag,ejempl pact,ejempl pa,ejempl organiz,ejempl objet,ejempl oper,ejempl organ,ejempl oficin,ejempl ocurr,ejempl ocasion,16 000,reform fiscal,fuerz cuerp,cuerp segur,product catalan,ministeri interior
2017-50,mejor condicion,com deb,tramit proced,num 54,une sep,present proposicion,preci alquil,quier march,transicion energet,suspension juici,alta ocup,presupuest general,mocion tra,trat conveni,cre mocion,mocion present,com explic,alta inspeccion,ambit educ,marian rajoy,ejempl objet,ejempl oper,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl pa,ejempl organiz,ejempl organ,territori peninsul,unid pod,ceut melill,polic nacional,institu catalan,provinci albacet,senador dominguez,senador navarret,energ renov,pact educ,vay termin
2018-6,termin vot,marian rajoy,solucion problem,aval tribunal,sector afect,sistem sanitari,articul 155,objet desarroll,nacional salud,cort general,cambi climat,ceut melill,posibl consegu,medi ambient,canari ceut,mallorc menorc,balear canari,pas imprescind,pas impuls,pas importantisim,ejempl numer,ejempl objet,ejempl oblig,ejempl ocasion,ejempl pens,ejempl ocurr,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl parlament,ejempl part,ejempl particip,ejempl oficin,ños popul
2018-8,eje piren,negoci colect,creacion emple,consecu objet,guardi civil,equipar salarial,send crecimient,abandon escol,quier dar,sistem pension,tribunal penal,gast pension,codig penal,luch iguald,desarroll sosten,comision pact,financi autonom,sistem financi,derech human,pas in,ejempl objet,ejempl oblig,ejempl ocasion,ejempl pas,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl parlament,ejempl part,ños popul,aprob presupuest,mejor carreter
2018-10,buen dias,ministeri justici,cumpl objet,present inform,atend demand,socied civil,espectacul deport,inversion necesari,presupuest general,transicion polit,quier agradec,plan director,asunt exterior,60 pag,junt andaluc,pod permit,violenci espectacul,2018 diari,buen notici,reform españ,ejempl nuev,ejempl num,ejempl parec,ejempl numer,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl objet,ños popul,planif estrateg,pobrez infantil,sistem sanitari
2018-12,pact toled,capac lleg,termin ensegu,program erasmus,pretend recog,variant pajar,2011 gobern,num 62,2018 diari,modif legisl,reform laboral,mujer trabaj,derog reform,alta veloc,mund rural,mocion present,inici pretend,cre necesit,sen plen,62 pag,ejempl objet,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl parlament,ejempl part,ejempl pas,ños popul,gran problem,corpor local
2018-15,segu trabaj,mocion compart,rest grup,libert expresion,vasc navarr,menorc barcelon,prestacion econom,senador mulet,person dependient,num 64,puebl gitan,parec seri,nivel minim,minim proteccion,tribunal constitucional,pas incorpor,pas inicial,pas im,pas imagin,pas inici,ejempl nivel,ejempl niñ,ejempl norm,ejempl nuev,ejempl parec,ejempl num,ejempl objet,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl numer,ños popul
2018-17,condicion econom,abril 2018,unanim mocion,victim terror,mocion present,puest march,marian rajoy,activ econom,acto justici,cien años,principal problem,pas hor,pas hech,pas impor,pas hambr,pas igual,pas hag,pas im,pas imagin,pas histori,ejempl neces,ejempl organiz,ejempl pa,ejempl pact,ejempl navarr,ejempl pag,ejempl palpabl,ejempl nacional,ejempl paradigmat,ejempl oficin,pesc aliment,ministr agricultur,matricul universitari,preci matricul,aliment medi,territori peninsul,tram algecir,memori histor,agricultur pesc,econom circul
2018-19,profesional sanitari,algecir bobadill,profesional trabaj,text final,empez abord,present mocion,mulet garc,segu profundiz,geograf españ,nuev model,corredor ferroviari,relacion bilateral,inform geograf,pas im,pas igual,pas impor,pas hor,pas imagin,06 deud,pas impuest,ejempl parlament,ejempl objet,ejempl numer,ejempl ocasion,ejempl paradigmat,ejempl palpabl,ejempl pag,ejempl pact,ejempl oblig,ejempl organiz,ejempl pa,ejempl oper,ejempl oficin,ejempl ocurr,ejempl organ,ños popul,may 2018,sen plen,2018 diari,model laboral
2018-21,num 70,desarroll innov,deficient gestion,import esfuerz,buen dias,infraestructur transport,ambit sanitari,luch despobl,esfuerz inversor,represent sindical,obtencion prueb,nacional salud,competit empres,pas general,pas imprescind,pas impuest,pas impuls,pas in,pas inadvert,pas inclu,ejempl oblig,ejempl objet,ejempl ocurr,ejempl paradigmat,ejempl palpabl,ejempl pag,ejempl pact,ejempl ocasion,ejempl organiz,ejempl pa,ejempl organ,ejempl oper,ejempl oficin,ños popul,cooper judicial,discrimin sufr,ministeri fiscal,colegi profesional,sufr mujer,servici public
2018-23,hac trabaj,aquell viviend,may 2018,investig financi,defens consumidor,discrimin person,contrat segur,codig penal,financi irregul,educ ciudadan,cualqui tip,plan convivent,valor respet,pas inadvert,pas impuls,pas imprescind,pas importantisim,pas import,pas in,pas impuest,ejempl numer,ejempl objet,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl parlament,ejempl part,ejempl pas,ños popul,financi ilegal
2018-24,num 74,quier dec,final decid,presupuest popul,situacion econom,hac dañ,tribunal constitucional,pon vigor,vet present,trabaj infantil,buen presupuest,presupuest buen,dar vuelt,aument rent,polit energet,asegur suministr,presupuest pon,cuest cre,pas impor,pas imprescind,ejempl objet,ejempl oblig,ejempl particip,ños popul,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl parlament,ejempl ocasion,violenci gener,vay termin,impugn numer
2018-25,permanent revis,76 pag,derog reform,19 juni,medi ambient,independent cataluñ,ahor sab,memori histor,once años,popul nunc,mocion censur,reform laboral,renunci principi,pas incorpor,pas hor,pas igual,pas im,pas integr,pas imagin,pas institut,ejempl oblig,ejempl objet,ejempl ocurr,ejempl pag,ejempl pact,ejempl pa,ejempl ocasion,ejempl organiz,ños popul,ejempl organ,ejempl oper,ejempl oficin,senador mulet,tom consider,nacional senador,14 enmiend,nombr foment,senador castel,18 juni,vay termin
2018-27,television public,06 deud,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas histori,pas inadvert,pas inclus,pas incorpor,pas increment,pas inform,pas inici,ejempl niñ,ejempl norm,ejempl nuev,ejempl model,ejempl num,ejempl objet,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl numer,ños popul,senador barreir
2018-37,dej clar,desperdici alimentari,juez llaren,guardi civil,comunitat valencian,inest polit,cambi criteri,presupuest general,enseñ public,12 marz,impuest sol,enmiend propuest,senador sent,sub impuest,fuert aplaus,person discapac,form part,tribunal constitucional,unid españ,cre deb,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl navarr,ejempl niñ,ministr trabaj,migracion segur,trabaj migracion,senador cleri,nacional senador,senador villanuev,popul senador,80 pag,senador navarret,send estabil,12 septiembr,num exp,vay termin,unid pod
2018-39,juez llaren,protestas aplaus,educ hij,guardi civil,educ concert,calid vid,espaci impun,buen dias,seri med,person sal,81 pag,puest march,man obra,25 septiembr,seman pas,plaz escolar,todav ministr,comision bilateral,capaz gener,person discapac,ejempl ocurr,ejempl niñ,enmiend senador,unic interes,senador navarret,sen parec,gent esper,senador jur,popul senador,senador ahed,vasc senador,acept enmiend,senador prad,nacional senador,senador marc,mocion censur,derech educ,condicion trabaj,unid pod,vay termin
2018-41,num 83,marian rajoy,vasc navarr,transicion ecolog,interes general,polic cataluñ,vot mocion,juni 2018,parec asum,mir lad,gestion fond,libr text,pod judicial,cuent general,alta inspeccion,comarc miner,guardi civil,buen tard,libert expresion,falt gestion,ejempl numer,ejempl num,ejempl objet,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl pa,ejempl oper,ejempl organ,ejempl organiz,sistem judicial,fuerz cuerp,cuerp segur,pued dispon,conflict territorial,senador mulet,unid pod,senador vindel,vay termin
2018-43,cuarent años,españ aplaus,castill herrer,ministr españ,econom fiscal,num 86,gran acuerd,tom not,hac maner,independent catalan,consej general,guardi civil,defens constitu,reform estatut,sen plen,aplausos rumor,dej pas,nuev form,comision haciend,segu trabaj,ejempl intent,senador huelv,dej constanci,segur public,dobl insular,sistem sanitari,pas portavoc,rent baj,estatut autonom,popul senador,nacional senador,derech ciudadan,senador navarret,senador alegr,mare senador,asunt exterior,senador juli,canari canari,senador comorer,vay termin
2018-45,derech human,plan presupuestari,guardi civil,convoqu eleccion,sid aprob,octubr 2018,pued estudi,afect lad,ped nombr,polit migratori,funcionari prision,sol diput,seried respons,autonom cataluñ,infiern fiscal,trabaj cuent,ceut melill,servici dependent,presupuest general,tan poc,ejempl ocurr,ejempl ocasion,ejempl oficin,ejempl paradigmat,ejempl palpabl,ejempl pag,ejempl pact,ejempl pa,ejempl organiz,ejempl organ,ejempl oper,ños popul,senador dominguez,junt andaluc,mujer deport,dominguez pos,popul senador,salari minim,88 pag,vay termin
2018-47,buen tard,20 noviembr,20 000,reglament sen,pod judicial,victim terror,pag impuest,quier dec,europe derech,person discapac,haci sector,tribunal suprem,competent propi,dialog respet,respet haci,industri automovil,10 000,glob sond,num 89,derech human,senador garr,iguald oportun,avui ens,sector financier,senador huelv,senador quetgl,pon march,senador juli,senador rudi,ultim años,mare senador,nombr ministr,parlament europe,nacional senador,parqu nacional,popul senador,senador ahed,mixt senador,senador navarret,vay termin
2018-50,reform educ,cuarent años,medi rural,noviembr 2018,van ten,qu pas,buen tard,reform constitucional,pon valor,patrimoni cultural,contest pregunt,men mal,ministr justici,92 pag,ningun tip,asi dec,12 diciembr,tom decision,da mied,pod judicial,ejempl oper,ejempl organ,ejempl organiz,ejempl nacional,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl oficin,ejempl negoci,mare senador,agricultor ganader,kal borrok,tom consider,senador iñarritu,band ancha,funcionari public,poder public,senador navarret,vay termin
2018-51,diciembr 2018,buen tard,pon march,despues hab,proteg proteg,interes general,mism ilusion,camp gibralt,sab dond,rest españ,doc años,obras infraestructur,dec popul,histori gran,inmigr irregular,junt andaluc,buen dias,ultim plen,form unilateral,oposicion oposicion,ejempl nivel,ejempl num,ejempl ocurr,interterritorial sistem,consej interterritorial,nombr ministr,com van,popul senador,senador bag,mejor text,senador lim,nacional salud,unid pod,deb permit,senador iñarritu,num exp,derech propied,defens enmiend,ministr transicion,vay termin
2018-52,tech gast,06 deud,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas histori,pas inadvert,pas inclus,pas incorpor,pas increment,pas inform,pas inici,ejempl norm,ejempl nuev,ejempl num,ejempl numer,ejempl objet,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl presupuest,ños popul,nuev send
2019-4,06 deud,pas histori,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas inadvert,pas inclu,pas inclus,pas incorpor,pas increment,pas inform,pas inici,ejempl nivel,ejempl niñ,ejempl norm,ejempl nuev,ejempl parec,ejempl num,ejempl objet,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl numer,ños popul
2019-6,num 98,popul present,banc españ,llev años,sab hac,popul siempr,valor principi,present enmiend,acab present,ceut melill,puest trabaj,quier record,victim terror,reconoc apoy,soci independent,buen tard,import econom,cumpl pact,ener 2019,renunci principi,ejempl ocurr,ejempl pact,ejempl pa,ministr polit,polit territorial,numer 16,hij hij,puebl venezolan,vasc senador,estatut autonom,senador comorer,secret empresarial,sistem financi,movil sosten,transicion energet,senador river,senador navarret,mare senador,territorial funcion,vay termin
2019-8,asunt exterior,aprob unanim,buen tard,histori peor,marian rajoy,regener democrat,men ayud,españ hech,impuest servici,puest trabaj,polit migratori,juni 2018,central termic,patrimoni human,ceut melill,proposicion organ,hac hac,febrer 2019,popul ayud,talaver rein,ejempl ningun,ejempl oficin,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl neces,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl oper,ejempl negoci,falt consens,popul senador,nacional senador,codig penal,senador river,senador azam,vay termin
2019-21,jur aplaus,articul reglament,excelentisim manuel,ruth goñi,proced llamamient,consider convenient,junt preparatori,pas mos,pas histori,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas municipi,pas impuls,ejempl nuev,ejempl num,ejempl parlament,ejempl numer,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl objet,ños popul,diput permanent,promet aplaus
2019-37,jur aplaus,ministr qu,socied canari,comunitat valencian,cient treint,consejer consejer,guerr civil,desaceler econom,tecnic presupuestari,victim guerr,mocion popul,isla gran,treint dias,mocion habl,victim franquism,moment cambi,pas inclu,pas integr,pas intervencion,pas in,ejempl objet,ejempl parlament,ejempl oblig,ejempl ocurr,ejempl paradigmat,ejempl palpabl,ejempl pag,ejempl pact,ejempl ocasion,ejempl pa,ejempl organ,ejempl oper,ejempl oficin,ejempl organiz,nacional canari,luch fraud,pres polit,canariapart nacional,memori histor,11 septiembr
2019-49,doñ mar,jos manuel,excelentisim doñ,06 deud,pas histori,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas inadvert,pas inclu,pas inclus,pas incorpor,ejempl palpabl,ejempl nuev,ejempl norm,ejempl num,ejempl pact,ejempl pa,ejempl organiz,ejempl organ,ejempl oper,ejempl ocurr,ejempl oficin,ejempl oblig,ejempl objet,ejempl numer,ejempl ocasion,ños popul,diput permanent,ros mar,ho promet,prometonum pag
2020-6,ponenci estudi,06 deud,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas inadvert,pas inclu,pas inclus,pas incorpor,pas increment,pas inform,pas inici,ejempl norm,ejempl nuev,ejempl num,ejempl numer,ejempl objet,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parlament,ños popul,canari balear
2020-7,tom med,algun dud,preci just,rein unid,pesc aliment,afili segur,interes general,entidad local,sen plen,2020 diari,febrer 2020,agricultur pesc,pas igual,pas im,pas hor,pas histori,pas hech,pas imagin,pas import,pas hambr,ejempl objet,ejempl oblig,ejempl part,ejempl ocasion,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl ocurr,ños popul,sistem fiscal,transicion ecolog,cambi climat,agricultor ganader
2020-9,25 febrer,bat med,ministr haciend,celebr reunion,person discapac,06 deud,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas inclu,pas igual,pas inclus,pas incorpor,pas increment,ños popul,ejempl oficin,ejempl paradigmat,ejempl palpabl,ejempl pag,ejempl pact,ejempl ocurr,ejempl pa,ejempl organ,ejempl oper,ejempl organiz,acab vot,interes general,años pas,años popul,constitu reconoc,educ public,alta veloc,medi despues,segur agrari
2020-10,buen tard,codig penal,dispuest estudi,españ rob,estudi inform,parec normal,pod entend,normal democrat,acept enmiend,pas histori,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas inmediat,ejempl nuev,ejempl num,ejempl numer,ejempl objet,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,ejempl part,industri electrointens,agricultor ganader
2020-17,06 deud,pas histori,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas inadvert,pas inclu,pas inclus,pas incorpor,pas increment,pas inform,pas inici,ejempl nivel,ejempl niñ,ejempl norm,ejempl nuev,ejempl parec,ejempl num,ejempl objet,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl numer,ños popul
